t, Obs_Wetland Cell 6 Water depth (m)_expression
40190.17000,0.748779
40190.18000,0.748517
40190.19000,0.748256
40190.20000,0.747995
40190.21000,0.747733
40190.22000,0.747472
40190.23000,0.74721
40190.24000,0.746949
40190.25000,0.746688
40190.26000,0.746426
40190.27000,0.746165
40190.28000,0.745904
40190.29000,0.745642
40190.30000,0.745381
40190.31000,0.74512
40190.32000,0.744858
40190.33000,0.744597
40190.34000,0.744336
40190.35000,0.744074
40190.36000,0.743813
40190.37000,0.743552
40190.38000,0.74329
40190.39000,0.743029
40190.40000,0.742768
40190.41000,0.742506
40190.42000,0.742245
40190.43000,0.741983
40190.44000,0.741722
40190.45000,0.741461
40190.46000,0.741199
40190.47000,0.740938
40190.48000,0.740677
40190.49000,0.740415
40190.50000,0.740154
40190.51000,0.739893
40190.52000,0.739631
40190.53000,0.73937
40190.54000,0.739109
40190.55000,0.738847
40190.56000,0.738586
40190.57000,0.738397
40190.58000,0.738293
40190.59000,0.738189
40190.60000,0.738084
40190.61000,0.73798
40190.62000,0.737876
40190.63000,0.737772
40190.64000,0.737668
40190.65000,0.737563
40190.66000,0.737459
40190.67000,0.737355
40190.68000,0.737251
40190.69000,0.737147
40190.70000,0.737042
40190.71000,0.736938
40190.72000,0.736834
40190.73000,0.73673
40190.74000,0.736626
40190.75000,0.736521
40190.76000,0.736417
40190.77000,0.736313
40190.78000,0.736209
40190.79000,0.736105
40190.80000,0.736
40190.81000,0.735896
40190.82000,0.735792
40190.83000,0.735688
40190.84000,0.735584
40190.85000,0.735479
40190.86000,0.735375
40190.87000,0.735271
40190.88000,0.735167
40190.89000,0.735063
40190.90000,0.734958
40190.91000,0.734854
40190.92000,0.73475
40190.93000,0.734646
40190.94000,0.734542
40190.95000,0.734437
40190.96000,0.734333
40190.97000,0.734229
40190.98000,0.734125
40190.99000,0.733984
40191.00000,0.733766
40191.01000,0.733548
40191.02000,0.733331
40191.03000,0.733113
40191.04000,0.732895
40191.05000,0.732677
40191.06000,0.732459
40191.07000,0.732242
40191.08000,0.732024
40191.09000,0.731806
40191.10000,0.731588
40191.11000,0.73137
40191.12000,0.731152
40191.13000,0.730935
40191.14000,0.730717
40191.15000,0.730499
40191.16000,0.730281
