t, Obs_Pond water depth (m)_expression
40185.44000,6.5242e-07
40185.45000,6.5171e-07
40185.46000,6.51e-07
40185.47000,6.50289e-07
40185.48000,6.49579e-07
40185.49000,6.48869e-07
40185.50000,6.48159e-07
40185.51000,6.47449e-07
40185.52000,6.46738e-07
40185.53000,6.46028e-07
40185.54000,6.45318e-07
40185.55000,6.44608e-07
40185.56000,6.43898e-07
40185.57000,6.43187e-07
40185.58000,6.42477e-07
40185.59000,6.41767e-07
40185.60000,6.41099e-07
40185.61000,6.40504e-07
40185.62000,6.3991e-07
40185.63000,6.39315e-07
40185.64000,6.3872e-07
40185.65000,6.38125e-07
40185.66000,6.3753e-07
40185.67000,6.36935e-07
40185.68000,6.36341e-07
40185.69000,6.35746e-07
40185.70000,6.35151e-07
40185.71000,6.34556e-07
40185.72000,6.33961e-07
40185.73000,6.33366e-07
40185.74000,6.32772e-07
40185.75000,6.32177e-07
40185.76000,6.31582e-07
40185.77000,6.30987e-07
40185.78000,6.30598e-07
40185.79000,6.3034e-07
40185.80000,6.30082e-07
40185.81000,6.29824e-07
40185.82000,6.29567e-07
40185.83000,6.29309e-07
40185.84000,6.29051e-07
40185.85000,6.28793e-07
40185.86000,6.28535e-07
40185.87000,6.28277e-07
40185.88000,6.2802e-07
40185.89000,6.27762e-07
40185.90000,6.27504e-07
40185.91000,6.27246e-07
40185.92000,6.26988e-07
40185.93000,6.2673e-07
40185.94000,6.26473e-07
40185.95000,6.26215e-07
40185.96000,1.19314e-05
40185.97000,2.51917e-05
40185.98000,3.8452e-05
40185.99000,5.17124e-05
40186.00000,6.49727e-05
40186.01000,7.8233e-05
40186.02000,9.14933e-05
40186.03000,0.000104754
40186.04000,0.000266341
40186.05000,0.00045941
40186.06000,0.000672846
40186.07000,0.000830546
40186.08000,0.000936992
40186.09000,0.00101244
40186.10000,0.00106492
40186.11000,0.00104541
40186.12000,0.000952314
40186.13000,0.000821515
40186.14000,0.000665005
40186.15000,0.000565926
40186.16000,0.000591404
40186.17000,0.000678696
40186.18000,0.000809975
40186.19000,0.000925451
40186.20000,0.000896915
40186.21000,0.000807901
40186.22000,0.000679207
40186.23000,2.45563e-05
40186.24000,2.42198e-05
40186.25000,2.38833e-05
40186.26000,2.35468e-05
40186.27000,2.32102e-05
40186.28000,2.28737e-05
40186.29000,2.25372e-05
40186.30000,2.22007e-05
40186.31000,2.18642e-05
40186.32000,2.15277e-05
40186.33000,2.11912e-05
40186.34000,2.08547e-05
40186.35000,2.05181e-05
40186.36000,2.01816e-05
40186.37000,1.98451e-05
40186.38000,1.95086e-05
40186.39000,1.91721e-05
40186.40000,1.88356e-05
40186.41000,1.84991e-05
40186.42000,1.81626e-05
40186.43000,1.78261e-05
40186.44000,1.74895e-05
40186.45000,1.7153e-05
40186.46000,1.68165e-05
40186.47000,1.648e-05
40186.48000,1.61435e-05
40186.49000,1.5807e-05
40186.50000,1.54705e-05
40186.51000,1.5134e-05
40186.52000,1.47974e-05
40186.53000,1.44609e-05
40186.54000,1.41244e-05
40186.55000,1.37879e-05
40186.56000,1.34514e-05
40186.57000,1.31149e-05
40186.58000,1.27784e-05
40186.59000,1.24419e-05
40186.60000,1.21054e-05
40186.61000,1.17688e-05
